
"CountryName","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Canada","CAN","Population, female","SP.POP.TOTL.FE.IN","8851741","9040305","9221831","9408033","9599279","9784951","9977130","10164729","10335090","10480782","10632184","10795924","10972537","11163418","11370241","11594419","11758334","11908985","12041878","12175105","12344789","12508542","12668611","12803432","12933351","13059560","13195995","13373841","13550793","13798061","14009770","14206688","14387814","14551739","14696788","14821658","14982770","15140827","15270066","15394068","15527833","15682901","15821913","15978061","16136529","16293676","16420913","16577614","16754869","16945444","17134047","17304245","17510939","17715017","17908981","18058362","18274152","18494333","",
"Central Europe and the Baltics","CEB","Population, female","SP.POP.TOTL.FE.IN","47158922","47555945","47924365","48321714","48745701","49095020","49436416","49880634","50298943","50656778","50917001","51163509","51522102","51897372","52309063","52769125","53227105","53641891","54005396","54321683","54648398","54967420","55267689","55555747","55829520","56094435","56349672","56586761","56796455","56866916","56856284","56647218","56530288","56600192","56599709","56575268","56422878","56395729","56290695","56262016","55928710","55644655","55310486","55162167","55031444","54896380","54765774","54566516","54373277","54268423","54070843","53879363","53756862","53643709","53532065","53408379","53270314","53129159","",
"Switzerland","CHE","Population, female","SP.POP.TOTL.FE.IN","2747113","2799514","2868527","2927429","2973184","3004814","3033634","3068874","3105548","3139103","3161068","3177767","3202915","3228053","3247199","3247584","3230948","3221943","3223998","3231825","3245381","3263136","3281514","3294368","3304770","3317955","3333885","3353539","3377016","3403328","3437551","3480117","3518262","3550189","3578447","3602314","3618122","3626679","3637236","3654298","3674423","3697164","3724484","3751081","3775177","3796839","3817289","3847366","3891863","3935920","3972360","4012164","4050550","4093239","4139717","4183804","4226961","4271470","",
"Channel Islands","CHI","Population, female","SP.POP.TOTL.FE.IN","56460","56935","57448","58003","58581","59178","59773","60381","60989","61604","62214","62834","63454","64044","64559","64968","65269","65477","65638","65835","66122","66496","66971","67515","68126","68776","69483","70234","70987","71681","72274","72746","73119","73416","73712","74038","74405","74816","75242","75689","76135","76599","77070","77547","78016","78478","78917","79345","79756","80165","80573","80980","81383","81788","82179","82567","82949","83319","",
"Chile","CHL","Population, female","SP.POP.TOTL.FE.IN","3919393","4008265","4098796","4190911","4284523","4379481","4475774","4573036","4670358","4766541","4860717","4952637","5042471","5130384","5216700","5301768","5385639","5468546","5551274","5634812","5719983","5806918","5895737","5987015","6081434","6179373","6281065","6386147","6493542","6601778","6709675","6816846","6923241","7028516","7132353","7234524","7334772","7433005","7529289","7623804","7716709","7807911","7897433","7985622","8072976","8159811","8246307","8332331","8417474","8501178","8583041","8662885","8740856","8817171","8892196","8966170","9039141","9110968","",
"China","CHN","Population, female","SP.POP.TOTL.FE.IN","323230499","320150333","322950803","331137866","339065281","347398288","357391367","366876133","376750437","387359710","398313166","409473754","419694847","429396987","438354648","446155261","453096645","459292978","465461266","471701275","477657569","483834454","491045273","498231789","504848398","511795485","519478796","527880168","536439413","544703450","552714879","560248258","567078771","573550685","579992796","586268968","592409568","598484511","604237309","609453358","614199718","618560573","622567040","626282598","629835033","633381243","636773435","639964959","643116500","646186349","649172215","652141182","655175831","658274452","661488955","664756807","668291578","671989697","",
"Cote d'Ivoire","CIV","Population, female","SP.POP.TOTL.FE.IN","1741653","1804995","1873430","1945989","2021245","2098342","2176869","2257700","2342850","2435095","2536402","2647498","2767850","2896670","3032635","3174717","3322660","3476597","3636343","3801741","3972583","4148805","4330063","4515615","4704498","4896072","5089513","5284914","5483656","5687717","5898269","6115370","6337683","6563262","6789483","7014081","7237352","7458964","7675364","7882134","8076629","8257519","8427205","8591582","8758797","8935192","9122590","9320689","9531016","9754691","9992365","10245339","10513553","10794417","11084143","11379956","11680932","11987658","",
"Cameroon","CMR","Population, female","SP.POP.TOTL.FE.IN","2631896","2686379","2743707","2803866","2866771","2932395","3000849","3072312","3146938","3224895","3306343","3391424","3480288","3573146","3670240","3771775","3877825","3988530","4104194","4225186","4351762","4483882","4621403","4764345","4912696","5066308","5225185","5388910","5556370","5726125","5897101","6069155","6242401","6416343","6590466","6764621","6938582","7113031","7289898","7471769","7660625","7857184","8061389","8273579","8493856","8722280","8959109","9204382","9457610","9718030","9985019","10258448","10538239","10823872","11114754","11410451","11710689","12015480","",
"Congo, Dem. Rep.","COD","Population, female","SP.POP.TOTL.FE.IN","7964764","8155728","8353765","8560446","8777923","9007549","9250372","9505507","9770006","10039731","10311897","10584714","10859445","11139959","11431799","11738657","12063425","12404217","12754328","13104271","13448004","13784525","14118632","14457406","14810801","15187162","15584025","16001970","16455396","16962644","17534177","18181670","18895059","19636608","20354243","21012375","21596283","22122050","22622847","23147413","23731839","24386505","25102934","25875701","26693156","27546761","28437110","29368620","30340498","31351867","32401848","33489678","34614552","35775405","36971104","38200543","39463262","40758507","",
"Congo, Rep.","COG","Population, female","SP.POP.TOTL.FE.IN","522585","535995","550061","564763","580092","596042","612597","629785","647720","666564","686398","707301","729206","751924","775190","798807","822698","846926","871648","897098","923432","950726","978909","1007817","1037247","1067022","1097125","1127660","1158762","1190606","1223359","1257065","1291761","1327553","1364558","1402898","1442773","1484228","1527004","1570705","1615149","1659944","1705380","1752789","1803968","1860062","1921793","1988386","2057633","2126464","2192706","2255539","2315738","2374673","2434474","2496701","2561745","2629176","",
