
"CountryName","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Canada","CAN","Population, male","SP.POP.TOTL.MA.IN","9057268","9230695","9392169","9555967","9725721","9893049","10070870","10247271","10408910","10547218","10691816","10849611","11021094","11205990","11403846","11614581","11759666","11887015","11994122","12101895","12248211","12391458","12533389","12652568","12768649","12882440","13008005","13176159","13344207","13580939","13781230","13964994","14131783","14281671","14415118","14532342","14689130","14846373","14977834","15105132","15241867","15398999","15540087","15697939","15858471","16018324","16149592","16310314","16490904","16683127","16871227","17038535","17239606","17437353","17626367","17774151","17990452","18213750","",
"Central Europe and the Baltics","CEB","Population, male","SP.POP.TOTL.MA.IN","44242661","44681173","45090525","45524035","45976898","46352045","46712219","47162953","47583451","47945362","48216295","48475474","48841495","49223147","49637193","50093364","50543029","50947422","51298916","51603155","51916507","52220562","52503105","52771148","53023661","53265861","53497476","53709919","53892078","53934464","53889476","53643227","53475348","53481269","53419861","53337948","53140219","53063364","52916510","52840338","52476812","52155744","51787091","51598601","51434672","51277386","51135548","50938015","50753409","50655949","50472958","50294675","50178456","50070017","49964114","49849372","49724029","49597943","",
"Switzerland","CHE","Population, male","SP.POP.TOTL.MA.IN","2580714","2634780","2705288","2766818","2816044","2851658","2884368","2922911","2962166","2997284","3019809","3035632","3058041","3079294","3094206","3091048","3071556","3059231","3057740","3062540","3074027","3090938","3109795","3124405","3137095","3152410","3170239","3191567","3216370","3243584","3277968","3319861","3357102","3388076","3415348","3438373","3453728","3462227","3472765","3489693","3509827","3532690","3560269","3587920","3614448","3640276","3666645","3703751","3755812","3807911","3852549","3900234","3946311","3996107","4048932","4098592","4146377","4194547","",
"Channel Islands","CHI","Population, male","SP.POP.TOTL.MA.IN","52960","53464","54009","54592","55192","55817","56454","57093","57737","58368","58983","59579","60160","60681","61123","61447","61633","61706","61752","61857","62090","62485","63008","63641","64327","65032","65747","66482","67200","67849","68397","68822","69139","69403","69672","70008","70424","70899","71429","71998","72590","73194","73831","74491","75154","75816","76494","77168","77825","78438","79008","79517","79975","80392","80790","81191","81592","81995","",
"Chile","CHL","Population, male","SP.POP.TOTL.MA.IN","3797232","3881891","3968340","4056504","4146315","4237596","4330363","4424289","4518464","4611702","4703148","4792552","4880087","4965911","5050356","5133766","5216197","5297873","5379509","5462056","5546243","5632226","5720099","5810519","5904224","6001655","6103043","6207998","6315483","6424019","6532457","6640398","6747792","6854152","6959036","7062089","7163054","7261830","7358467","7453148","7546045","7637058","7726202","7813920","7900802","7987253","8073485","8159356","8244468","8328264","8410313","8490472","8568890","8645811","8721602","8796511","8870613","8943758","",
"China","CHN","Population, male","SP.POP.TOTL.MA.IN","343839501","340179667","342819197","351197134","359289719","367786712","378008633","387673867","397759563","408665290","420001834","431631246","442335153","452543013","461995352","470239739","477588355","484162022","490703734","497303725","503577431","510050546","517584727","525078211","531976602","539244515","547311204","556154832","565190587","573946550","582470121","590531742","597891229","604889315","611842204","618586032","625140432","631590489","637697691","643281642","648445282","653289427","657832960","662117402","666239967","670338757","674246565","677920041","681538500","685073651","688532785","691988818","695519169","699105548","702781045","706463193","710373422","714405303","",
"Cote d'Ivoire","CIV","Population, male","SP.POP.TOTL.MA.IN","1817335","1889210","1967641","2050952","2136720","2223449","2310335","2398653","2491429","2592876","2705993","2831840","2969431","3117192","3272652","3433892","3600322","3772231","3949571","4132538","4321092","4515252","4714410","4917116","5121557","5326486","5530754","5734737","5940604","6151526","6369485","6594638","6825336","7059469","7294128","7526739","7757897","7987022","8209188","8418099","8609932","8782633","8939312","9087773","9238941","9401111","9576845","9765252","9966970","10181675","10408966","10649972","10905050","11171895","11447207","11728516","12014987","12307092","",
"Cameroon","CMR","Population, male","SP.POP.TOTL.MA.IN","2544372","2598852","2656215","2716466","2779545","2845439","2914274","2986227","3061344","3139674","3221292","3306321","3394940","3487457","3584228","3685587","3791620","3902439","4018335","4139649","4266592","4399134","4537163","4680658","4829567","4983715","5143115","5307364","5475447","5646035","5818117","5991574","6166530","6342538","6519194","6696373","6873890","7052392","7233672","7420122","7613609","7814743","8023497","8240243","8465225","8698515","8940453","9191007","9449398","9714511","9985476","10261999","10544144","10831843","11125150","11424071","11728500","12038247","",
"Congo, Dem. Rep.","COD","Population, male","SP.POP.TOTL.MA.IN","7283487","7482005","7687498","7901484","8126000","8362334","8611509","8872707","9143197","9419173","9698038","9978151","10260695","10549280","10849124","11163662","11495646","11843333","12200327","12557613","12909458","13254943","13598705","13947470","14310673","14696284","15101799","15527853","15988760","16502797","17080404","17733155","18451088","19196987","19919458","20583369","21174261","21708096","22217682","22751254","23344548","24007833","24732822","25514332","26341061","27204715","28105901","29048942","30033110","31057568","32121415","33223919","34364130","35540628","36751756","37996076","39272891","40581481","",
"Congo, Rep.","COG","Population, male","SP.POP.TOTL.MA.IN","514635","528116","542231","556972","572320","588274","604794","621918","639796","658583","678414","699342","721312","744123","767500","791232","815243","839598","864451","890031","916503","943950","972286","1001348","1030885","1060748","1090921","1121486","1152586","1184402","1217098","1250707","1285274","1320954","1357939","1396357","1436449","1478242","1521449","1565639","1610578","1655862","1701800","1749730","1801471","1858181","1920572","1987860","2057802","2127248","2193987","2257191","2317625","2376720","2436627","2498947","2564076","2631574","",
