,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
63,70,2,17,0.04940889629756,105,0.39501779359430605,84,0.0041877972200705564,98,0.05405405405405406,94,0.008153650663829315
64,79,2,105,0.04936785506242794,17,0.392226148409894,11,0.004110593865910547,105,0.05405405405405406,69,0.008118953679910328
65,94,2,94,0.049367775318721434,12,0.3908450704225352,57,0.003988594416250814,19,0.04504504504504504,19,0.008073400956022542
66,98,2,93,0.04910458432494643,42,0.3908450704225352,77,0.0033697640641361334,33,0.04504504504504504,88,0.007993219742124646
67,105,2,48,0.04799720819508628,48,0.3908450704225352,33,0.0033141883160485923,36,0.04504504504504504,77,0.007970895429696472
68,13,1,81,0.047622694837439326,85,0.3908450704225352,36,0.002901108812409429,48,0.04504504504504504,95,0.00788704979378466
69,32,1,46,0.047236704780750004,93,0.3908450704225352,31,0.002895951144996131,63,0.04504504504504504,31,0.007855940469707105
70,34,1,58,0.04537389587826224,58,0.3867595818815331,88,0.0028823934015264666,66,0.04504504504504504,92,0.007848426763404285
71,40,1,85,0.04128718234960646,46,0.38275862068965516,12,0.0025784845359502324,87,0.04504504504504504,68,0.007837594889473378
72,48,1,1,0.03917507554800456,83,0.38275862068965516,61,0.002520201799198665,89,0.04504504504504504,61,0.007823345954076496
73,66,1,42,0.03748450923822139,63,0.38144329896907214,80,0.0024371343899259362,92,0.04504504504504504,101,0.00781513510491032
74,72,1,13,0.03630670272074232,66,0.3801369863013699,68,0.0019378943288111703,93,0.04504504504504504,76,0.007750448465435505
75,81,1,66,0.03609083643837161,97,0.37755102040816324,48,0.0019059246761471995,97,0.04504504504504504,48,0.007667397372096584
76,85,1,92,0.03469002152689114,88,0.376271186440678,92,0.0017928326106656722,40,0.036036036036036036,90,0.007661601822555937
77,92,1,97,0.03315869127669418,1,0.375,95,0.0016101251936492208,61,0.036036036036036036,36,0.00761702625776365
78,97,1,40,0.03201681922261124,89,0.3712374581939799,107,0.0015877243578784933,79,0.036036036036036036,93,0.007592993369228747
79,107,1,72,0.03141475574259058,87,0.3675496688741722,96,0.0015774890490769253,91,0.036036036036036036,91,0.0075823599740929785
80,9,0,89,0.03086184245558514,98,0.3639344262295082,99,0.0013952223043132135,95,0.036036036036036036,40,0.007488698619731532
81,15,0,103,0.030550284575451624,103,0.3639344262295082,91,0.0012891356885091135,1,0.02702702702702703,96,0.007410553936927878
82,35,0,83,0.030491952929977518,13,0.3627450980392157,93,0.0011919877660097192,13,0.02702702702702703,33,0.007369351899028861
83,39,0,91,0.029721320076937934,92,0.3627450980392157,79,0.0009033714892511499,51,0.02702702702702703,111,0.007350182859601622
84,42,0,63,0.02935059174626102,107,0.36038961038961037,40,0.0008305578760124213,70,0.02702702702702703,51,0.007269868523697447
85,43,0,107,0.02835413901256673,72,0.3592233009708738,111,0.0007917007917007918,81,0.02702702702702703,99,0.007171480048996379
86,51,0,64,0.02510439274290212,101,0.3580645161290323,90,0.0005424783300112536,90,0.02702702702702703,70,0.007162138540781748
87,59,0,101,0.025038733630789962,106,0.3580645161290323,103,0.0005408830408830409,96,0.02702702702702703,79,0.00712441528349065
88,61,0,61,0.023829249892435678,61,0.3557692307692308,81,0.0005305030215903657,101,0.02702702702702703,102,0.0071230744150380864
89,63,0,87,0.02316623979644833,91,0.3557692307692308,108,0.0005127264218173309,103,0.02702702702702703,43,0.007062587176974575
90,64,0,95,0.022697843461783763,108,0.3557692307692308,106,0.00042322133231224136,107,0.02702702702702703,1,0.007033121875181303
91,65,0,98,0.022673218903111563,35,0.3546325878594249,65,0.0004115420828646145,34,0.018018018018018018,103,0.007022398948454476
92,67,0,70,0.021880620909336405,39,0.3546325878594249,51,0.00033201033201033203,42,0.018018018018018018,67,0.007017825585463936
93,75,0,35,0.02154122390562806,64,0.3512658227848101,13,0.00020839020839020838,43,0.018018018018018018,107,0.007017656681477391
94,83,0,39,0.02154122390562806,40,0.3490566037735849,42,0.00020791848378055272,64,0.018018018018018018,65,0.006963448603596152
95,87,0,106,0.02106562900529901,95,0.34796238244514105,43,0.00018330018330018328,65,0.018018018018018018,13,0.00694116711218414
96,89,0,108,0.020645536056430592,96,0.34365325077399383,67,0.00018049518049518051,67,0.018018018018018018,108,0.0069318893421135355
97,90,0,51,0.020240420348231557,70,0.34049079754601225,102,0.00013383937296980775,85,0.018018018018018018,81,0.00692716325803366
98,91,0,96,0.01584578411067737,65,0.3333333333333333,70,0.0001255801255801256,99,0.018018018018018018,100,0.006861314027006422
99,95,0,65,0.013166522389476102,51,0.33035714285714285,64,0.0001220136746452536,102,0.018018018018018018,106,0.006852131218699985
100,96,0,90,0.010881323463169635,59,0.3274336283185841,1,0.00010146428641726447,106,0.018018018018018018,109,0.0068216501881627365
101,99,0,59,0.01077761728736835,99,0.3217391304347826,15,0.0,108,0.018018018018018018,112,0.006768758658780592
102,100,0,15,0.010641295334132621,90,0.3208092485549133,34,0.0,111,0.018018018018018018,42,0.00673462483991055
103,101,0,102,0.010091027963307053,15,0.31988472622478387,35,0.0,15,0.009009009009009009,64,0.00670522639833264
104,102,0,43,0.009945421629053635,43,0.31988472622478387,39,0.0,35,0.009009009009009009,104,0.006683038599953836
105,103,0,67,0.009860858418362695,102,0.3153409090909091,59,0.0,39,0.009009009009009009,85,0.006659990312073103
106,104,0,99,0.008106308797203487,67,0.31444759206798867,83,0.0,59,0.009009009009009009,34,0.006593585548395836
107,106,0,111,0.006995628973477643,111,0.30662983425414364,85,0.0,83,0.009009009009009009,110,0.006568688634688143
108,108,0,110,0.005091544157624387,104,0.2991913746630728,100,0.0,100,0.009009009009009009,15,0.0065161584530278515
109,109,0,104,0.004928425891284869,110,0.2905759162303665,104,0.0,104,0.009009009009009009,59,0.0065112826311886874
110,110,0,109,0.002744522969905999,109,0.27611940298507465,109,0.0,109,0.009009009009009009,35,0.006437962065319368
111,111,0,100,0.001761693084239295,100,0.26941747572815533,110,0.0,110,0.009009009009009009,39,0.006437962065319368
112,112,0,112,0.0017241914958934324,112,0.2674698795180723,112,0.0,112,0.009009009009009009,83,0.006405623483076468
